date,temperature_c,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,wind_speed_kmh,year,month,day_of_year
1975-01-28,15.54,18.05,12.29,1.01,61.7,11.8,1975,1,28
1975-01-29,15.97,19.85,13.22,0.6,56.9,10.1,1975,1,29
1975-01-30,17.75,21.57,15.34,1.03,55.0,8.0,1975,1,30
1975-01-31,19.1,21.83,15.35,1.11,57.3,8.9,1975,1,31
1975-02-01,23.4,25.54,20.03,2.77,55.4,8.9,1975,2,32
1975-02-02,20.65,22.7,18.43,0.81,62.7,7.2,1975,2,33
1975-02-03,20.35,23.83,16.86,3.37,64.5,8.8,1975,2,34
1975-02-04,19.72,22.96,16.3,0.57,62.2,8.8,1975,2,35
1975-02-05,20.21,23.41,16.24,11.48,62.0,9.7,1975,2,36
1975-02-06,22.7,25.3,18.92,0.92,62.0,11.9,1975,2,37
1975-02-07,23.13,25.92,20.04,0.63,56.0,9.4,1975,2,38
1975-02-08,22.66,26.03,18.89,5.7,60.7,8.6,1975,2,39
1975-02-09,22.86,25.79,18.97,0.07,60.3,9.9,1975,2,40
1975-02-10,24.33,27.49,20.98,0.61,64.0,7.2,1975,2,41
1975-02-11,23.78,27.53,21.67,0.25,54.1,10.4,1975,2,42
1975-02-12,24.36,27.41,21.63,1.21,61.2,13.0,1975,2,43
1975-02-13,23.13,25.28,20.98,7.18,63.6,8.7,1975,2,44
1975-02-14,22.96,26.42,20.63,2.75,55.7,7.9,1975,2,45
1975-02-15,22.22,26.21,18.81,0.19,57.7,11.3,1975,2,46
1975-02-16,23.6,27.16,20.0,0.38,65.0,9.0,1975,2,47
1975-02-17,23.32,26.98,19.74,0.36,55.0,9.3,1975,2,48
1975-02-18,20.81,23.38,17.0,0.15,67.3,11.0,1975,2,49
1975-02-19,19.4,22.97,17.31,0.61,55.7,8.8,1975,2,50
1975-02-20,19.56,22.4,17.45,1.24,64.1,8.8,1975,2,51
1975-02-21,20.55,23.09,17.65,0.87,56.7,12.0,1975,2,52
1975-02-22,24.05,26.27,21.96,2.03,64.1,12.0,1975,2,53
1975-02-23,24.44,26.48,20.8,3.6,57.2,7.6,1975,2,54
1975-02-24,22.89,25.94,19.19,0.87,58.0,7.5,1975,2,55
1975-02-25,24.22,26.36,21.59,10.33,62.0,6.5,1975,2,56
1975-02-26,25.63,28.7,23.51,2.35,57.4,15.4,1975,2,57
1975-02-27,24.65,28.18,20.81,0.95,64.9,9.6,1975,2,58
1975-02-28,25.61,27.95,23.51,1.8,70.8,13.1,1975,2,59
1975-03-01,28.42,30.5,26.33,1.44,59.2,13.6,1975,3,60
1975-03-02,30.5,33.54,28.39,0.17,57.8,6.6,1975,3,61
1975-03-03,28.67,31.88,24.75,0.45,62.5,11.6,1975,3,62
1975-03-04,28.71,32.17,26.16,6.13,57.6,14.1,1975,3,63
1975-03-05,26.45,28.66,24.4,1.55,64.4,13.3,1975,3,64
1975-03-06,27.39,30.11,24.64,0.42,49.8,10.6,1975,3,65
1975-03-07,28.37,32.34,24.84,0.44,59.9,7.3,1975,3,66
1975-03-08,25.03,27.41,22.06,1.27,61.2,11.3,1975,3,67
1975-03-09,25.76,28.96,21.93,2.64,53.3,13.2,1975,3,68
1975-03-10,25.59,28.01,21.93,1.19,66.2,13.6,1975,3,69
1975-03-11,26.81,29.58,24.78,1.82,63.3,9.1,1975,3,70
1975-03-12,25.04,28.69,21.53,10.09,52.9,8.0,1975,3,71
1975-03-13,28.33,30.83,24.45,5.08,56.1,6.3,1975,3,72
1975-03-14,27.96,30.68,23.98,8.1,56.9,16.3,1975,3,73
1975-03-15,27.49,29.89,25.2,5.36,60.2,11.5,1975,3,74
1975-03-16,26.35,29.21,22.81,1.83,52.6,13.8,1975,3,75
1975-03-17,28.05,30.3,24.66,0.83,58.7,12.7,1975,3,76
1975-03-18,30.05,33.78,27.81,6.98,52.3,8.9,1975,3,77
1975-03-19,27.67,29.83,24.21,0.91,57.1,4.5,1975,3,78
1975-03-20,26.99,29.07,24.14,0.82,60.6,7.3,1975,3,79
1975-03-21,28.39,32.19,24.83,0.52,61.3,6.8,1975,3,80
1975-03-22,28.81,31.59,25.16,1.67,58.1,10.1,1975,3,81
1975-03-23,27.41,31.18,23.83,2.03,66.6,6.8,1975,3,82
1975-03-24,27.76,30.84,24.0,0.05,61.0,17.4,1975,3,83
1975-03-25,29.0,32.02,25.77,1.11,57.0,6.5,1975,3,84
1975-03-26,27.38,30.48,23.63,0.83,66.0,14.7,1975,3,85
1975-03-27,28.1,32.0,24.29,3.98,48.7,7.8,1975,3,86
1975-03-28,29.33,31.58,25.54,0.45,63.7,8.7,1975,3,87
1975-03-29,28.9,30.95,26.7,0.36,67.1,13.8,1975,3,88
1975-03-30,27.62,30.63,23.64,5.19,52.6,11.3,1975,3,89
1975-03-31,28.31,32.26,24.81,1.74,50.2,12.2,1975,3,90
1975-04-01,30.91,34.17,27.02,0.7,64.4,12.0,1975,4,91
1975-04-02,33.48,35.61,29.66,3.61,73.4,12.5,1975,4,92
1975-04-03,31.67,34.83,28.0,5.71,70.5,14.5,1975,4,93
1975-04-04,31.8,35.72,29.43,1.83,64.9,9.4,1975,4,94
1975-04-05,33.07,35.99,30.15,4.74,67.8,12.0,1975,4,95
1975-04-06,31.99,34.1,29.88,1.68,64.7,13.7,1975,4,96
1975-04-07,30.38,33.76,28.29,0.06,57.1,12.9,1975,4,97
1975-04-08,29.35,32.7,25.86,1.37,65.6,14.5,1975,4,98
1975-04-09,28.9,32.71,25.37,3.03,68.9,13.0,1975,4,99
1975-04-10,28.9,32.43,25.83,4.84,68.5,13.3,1975,4,100
1975-04-11,29.58,33.21,26.41,1.08,69.9,11.9,1975,4,101
1975-04-12,30.1,32.67,26.25,2.82,65.6,11.3,1975,4,102
1975-04-13,31.1,34.03,27.67,5.96,74.1,16.5,1975,4,103
1975-04-14,31.58,33.68,27.89,0.94,71.1,13.8,1975,4,104
1975-04-15,29.68,32.15,25.76,2.49,60.3,18.8,1975,4,105
1975-04-16,31.27,34.09,29.08,4.41,62.7,9.5,1975,4,106
1975-04-17,30.43,33.03,27.57,0.73,56.0,14.2,1975,4,107
1975-04-18,28.81,32.47,25.45,2.35,65.8,10.3,1975,4,108
1975-04-19,29.84,32.96,27.3,1.27,67.6,11.2,1975,4,109
1975-04-20,29.99,33.87,26.45,1.54,51.1,12.5,1975,4,110
1975-04-21,29.57,32.45,27.38,0.84,71.5,13.4,1975,4,111
1975-04-22,29.39,31.64,26.47,0.19,64.3,9.8,1975,4,112
1975-04-23,30.79,34.28,27.94,0.41,65.5,6.4,1975,4,113
1975-04-24,30.78,32.95,28.46,5.72,68.6,11.4,1975,4,114
1975-04-25,30.59,33.15,27.59,3.41,66.2,15.3,1975,4,115
1975-04-26,30.87,32.97,28.65,0.05,58.6,16.0,1975,4,116
1975-04-27,29.42,33.12,25.94,9.49,72.8,13.2,1975,4,117
1975-04-28,29.86,32.96,27.64,4.12,66.7,11.8,1975,4,118
1975-04-29,29.81,32.78,27.74,3.16,71.3,16.9,1975,4,119
1975-04-30,30.92,34.37,27.21,2.31,57.6,14.1,1975,4,120
1975-05-01,30.89,33.99,27.22,6.28,74.3,13.1,1975,5,121
1975-05-02,32.55,34.81,29.16,0.42,73.2,14.8,1975,5,122
1975-05-03,32.58,36.42,30.46,13.17,82.9,16.1,1975,5,123
1975-05-04,32.25,35.92,28.6,11.78,72.4,14.8,1975,5,124
1975-05-05,31.28,34.39,27.7,5.88,71.4,18.5,1975,5,125
1975-05-06,30.16,32.25,26.56,1.82,74.2,12.9,1975,5,126
1975-05-07,29.5,32.72,25.73,7.06,75.4,10.7,1975,5,127
1975-05-08,31.49,34.07,29.4,4.25,69.7,10.1,1975,5,128
1975-05-09,31.82,33.99,29.6,10.75,62.4,13.6,1975,5,129
1975-05-10,31.24,35.23,28.88,7.67,71.2,15.3,1975,5,130
1975-05-11,32.3,35.69,28.92,12.33,67.6,13.3,1975,5,131
1975-05-12,30.07,32.99,26.5,14.14,76.9,10.7,1975,5,132
1975-05-13,29.51,31.76,25.8,2.66,73.4,15.5,1975,5,133
1975-05-14,29.72,32.14,27.35,0.77,70.2,14.4,1975,5,134
1975-05-15,27.7,31.08,23.84,1.56,72.2,13.4,1975,5,135
1975-05-16,30.06,33.41,27.64,2.08,64.0,11.7,1975,5,136
1975-05-17,31.62,35.26,29.36,4.54,70.3,13.6,1975,5,137
1975-05-18,30.95,33.9,27.57,5.05,69.6,17.4,1975,5,138
1975-05-19,30.96,34.0,27.83,30.02,72.1,9.5,1975,5,139
1975-05-20,30.75,33.7,28.19,6.19,69.0,13.9,1975,5,140
1975-05-21,31.94,34.37,28.48,20.32,66.8,13.3,1975,5,141
1975-05-22,32.41,35.45,29.67,2.91,66.4,13.0,1975,5,142
1975-05-23,31.99,34.38,29.57,2.4,74.5,17.7,1975,5,143
1975-05-24,33.85,36.71,31.42,0.11,71.1,9.1,1975,5,144
1975-05-25,32.11,35.88,29.5,8.99,72.0,15.8,1975,5,145
1975-05-26,31.35,34.87,28.12,9.16,76.3,17.7,1975,5,146
1975-05-27,31.62,35.19,29.14,15.25,65.0,15.0,1975,5,147
1975-05-28,31.66,33.84,28.94,5.61,78.5,14.6,1975,5,148
1975-05-29,31.97,34.27,29.94,8.37,74.8,17.3,1975,5,149
1975-05-30,31.52,34.27,29.29,2.67,72.1,16.4,1975,5,150
1975-05-31,32.22,35.2,30.0,4.6,73.5,17.0,1975,5,151
1975-06-01,32.18,34.19,28.49,17.25,83.7,12.9,1975,6,152
1975-06-02,32.5,34.81,29.0,1.79,89.0,13.2,1975,6,153
1975-06-03,32.12,34.52,28.72,4.86,89.4,15.1,1975,6,154
1975-06-04,32.6,35.41,29.71,46.39,94.1,15.1,1975,6,155
1975-06-05,31.43,34.65,28.99,1.78,85.7,16.5,1975,6,156
1975-06-06,32.57,36.18,30.4,10.74,84.4,13.5,1975,6,157
1975-06-07,32.35,35.13,28.43,16.52,83.9,14.5,1975,6,158
1975-06-08,32.39,35.53,28.93,4.91,81.8,19.4,1975,6,159
1975-06-09,30.53,33.84,27.69,22.99,79.8,17.1,1975,6,160
1975-06-10,29.22,31.5,26.55,56.22,89.1,17.3,1975,6,161
1975-06-11,28.41,32.15,25.89,1.35,88.7,17.1,1975,6,162
1975-06-12,30.26,33.47,26.32,8.32,89.5,14.2,1975,6,163
1975-06-13,29.97,33.07,26.15,4.01,78.5,16.0,1975,6,164
1975-06-14,29.3,32.62,25.96,0.26,79.6,16.5,1975,6,165
1975-06-15,29.77,32.4,27.59,4.62,85.5,19.8,1975,6,166
1975-06-16,27.69,31.52,24.86,24.25,82.3,17.3,1975,6,167
1975-06-17,30.87,33.74,28.29,17.37,79.9,12.8,1975,6,168
1975-06-18,32.2,35.71,28.97,6.75,85.1,15.5,1975,6,169
1975-06-19,31.63,35.18,27.92,9.54,91.6,19.2,1975,6,170
1975-06-20,31.06,33.92,28.57,12.86,95.6,10.4,1975,6,171
1975-06-21,31.36,34.25,27.58,2.71,87.1,10.4,1975,6,172
1975-06-22,31.44,33.99,28.56,4.25,83.4,18.4,1975,6,173
1975-06-23,31.41,34.27,28.04,18.69,97.9,11.9,1975,6,174
1975-06-24,30.99,34.31,27.89,4.56,94.3,14.4,1975,6,175
1975-06-25,31.34,33.43,28.4,29.28,81.2,10.5,1975,6,176
1975-06-26,31.22,34.14,28.31,6.12,92.3,12.9,1975,6,177
1975-06-27,30.57,34.18,28.27,48.85,88.5,15.9,1975,6,178
1975-06-28,29.91,32.79,27.24,9.78,79.0,17.0,1975,6,179
1975-06-29,30.92,34.52,27.49,24.1,86.0,18.8,1975,6,180
1975-06-30,30.73,34.64,27.09,25.66,88.0,12.9,1975,6,181
1975-07-01,29.64,33.26,26.9,1.05,86.0,12.1,1975,7,182
1975-07-02,28.99,31.61,25.13,14.25,98.2,15.7,1975,7,183
1975-07-03,28.76,31.61,26.21,6.75,93.8,13.9,1975,7,184
1975-07-04,28.8,31.09,26.64,7.75,81.3,13.8,1975,7,185
1975-07-05,28.8,31.63,25.73,18.26,97.2,20.8,1975,7,186
1975-07-06,29.23,32.75,26.76,21.68,96.5,13.9,1975,7,187
1975-07-07,29.41,32.41,26.73,6.84,90.7,11.2,1975,7,188
1975-07-08,29.36,32.9,27.11,35.45,90.1,12.2,1975,7,189
1975-07-09,29.21,31.58,27.05,9.23,90.4,15.6,1975,7,190
1975-07-10,29.16,31.31,26.73,22.24,93.9,13.6,1975,7,191
1975-07-11,30.01,32.4,26.21,19.79,84.0,14.3,1975,7,192
1975-07-12,29.81,32.23,26.01,7.17,81.1,13.4,1975,7,193
1975-07-13,31.05,33.77,27.68,6.85,86.8,20.5,1975,7,194
1975-07-14,31.42,33.7,28.85,0.86,87.6,20.2,1975,7,195
1975-07-15,30.15,34.08,26.37,9.72,91.7,16.2,1975,7,196
1975-07-16,29.22,31.33,25.93,13.69,92.6,19.2,1975,7,197
1975-07-17,30.88,33.24,28.4,5.38,88.8,19.5,1975,7,198
1975-07-18,29.75,33.47,26.48,11.98,94.5,14.7,1975,7,199
1975-07-19,28.03,30.84,24.5,9.97,96.4,13.5,1975,7,200
1975-07-20,29.19,31.85,25.6,2.0,83.9,16.5,1975,7,201
1975-07-21,30.76,34.2,28.33,1.27,76.2,18.3,1975,7,202
1975-07-22,30.18,33.07,27.21,3.88,91.9,19.5,1975,7,203
1975-07-23,30.18,32.42,26.48,16.67,88.0,15.3,1975,7,204
1975-07-24,29.63,32.62,25.84,7.68,85.8,14.4,1975,7,205
1975-07-25,30.25,33.15,27.31,17.63,91.1,19.7,1975,7,206
1975-07-26,30.75,34.03,27.86,0.42,87.9,15.9,1975,7,207
1975-07-27,27.92,31.31,25.32,4.04,91.0,17.9,1975,7,208
1975-07-28,28.65,31.52,26.57,26.94,94.5,18.2,1975,7,209
1975-07-29,28.08,30.77,25.53,10.0,80.2,20.2,1975,7,210
1975-07-30,29.17,32.24,25.56,8.89,83.6,18.4,1975,7,211
1975-07-31,28.25,31.15,25.43,0.43,92.1,20.6,1975,7,212
1975-08-01,28.79,31.8,26.01,19.8,86.1,12.4,1975,8,213
1975-08-02,28.81,32.52,24.95,0.39,85.0,14.6,1975,8,214
1975-08-03,28.45,31.76,24.84,4.5,84.5,13.6,1975,8,215
1975-08-04,27.72,29.95,24.11,37.43,98.2,18.0,1975,8,216
1975-08-05,27.22,30.01,25.16,5.97,88.1,15.0,1975,8,217
1975-08-06,27.49,29.66,24.87,17.88,92.0,16.3,1975,8,218
1975-08-07,27.58,31.57,25.44,15.93,97.4,14.4,1975,8,219
1975-08-08,29.46,32.19,27.38,29.89,84.3,12.1,1975,8,220
1975-08-09,29.35,31.37,25.5,10.99,98.5,15.4,1975,8,221
1975-08-10,29.85,33.35,26.63,1.6,85.5,13.2,1975,8,222
1975-08-11,29.02,31.29,26.66,13.47,91.6,18.5,1975,8,223
1975-08-12,28.46,32.4,25.54,29.24,88.5,14.2,1975,8,224
1975-08-13,28.2,30.55,25.17,9.12,91.2,17.6,1975,8,225
1975-08-14,28.8,32.16,26.64,30.95,96.9,12.5,1975,8,226
1975-08-15,28.63,30.7,25.81,13.86,86.1,18.3,1975,8,227
1975-08-16,28.26,30.46,25.84,5.12,87.4,18.9,1975,8,228
1975-08-17,28.86,31.6,26.25,3.18,84.7,15.3,1975,8,229
1975-08-18,28.55,32.44,26.49,25.05,92.0,10.1,1975,8,230
1975-08-19,28.35,31.53,25.58,14.22,87.9,17.4,1975,8,231
1975-08-20,27.68,31.16,24.27,4.09,89.3,17.2,1975,8,232
1975-08-21,27.75,29.9,25.07,17.14,88.7,12.2,1975,8,233
1975-08-22,27.65,31.51,23.98,37.83,98.1,12.7,1975,8,234
1975-08-23,27.41,30.7,23.82,3.91,85.1,11.2,1975,8,235
1975-08-24,28.17,31.46,24.83,29.85,92.6,12.9,1975,8,236
1975-08-25,28.22,31.63,24.56,4.1,84.4,11.7,1975,8,237
1975-08-26,28.69,31.96,26.4,25.3,89.3,9.8,1975,8,238
1975-08-27,29.75,31.95,26.31,3.03,86.9,14.7,1975,8,239
1975-08-28,30.33,33.84,28.09,16.26,86.3,15.9,1975,8,240
1975-08-29,28.69,31.51,25.03,9.37,87.7,14.6,1975,8,241
1975-08-30,28.89,32.47,25.58,7.8,88.0,10.3,1975,8,242
1975-08-31,28.39,31.19,25.79,0.86,87.7,19.1,1975,8,243
1975-09-01,28.85,32.24,26.7,3.8,96.2,14.2,1975,9,244
1975-09-02,29.84,33.01,27.71,15.65,90.4,8.3,1975,9,245
1975-09-03,30.04,33.91,26.88,6.56,87.2,9.8,1975,9,246
1975-09-04,29.82,32.96,26.86,12.42,93.1,15.9,1975,9,247
1975-09-05,29.64,33.51,27.0,11.14,88.0,11.1,1975,9,248
1975-09-06,29.68,32.97,26.4,13.72,85.5,10.6,1975,9,249
1975-09-07,28.56,30.65,26.52,0.38,87.5,9.2,1975,9,250
1975-09-08,28.78,32.21,26.16,3.67,86.3,7.5,1975,9,251
1975-09-09,29.95,32.56,27.4,2.12,79.2,15.1,1975,9,252
1975-09-10,29.3,32.3,26.13,1.29,83.8,10.9,1975,9,253
1975-09-11,29.44,32.97,27.22,7.61,89.7,7.5,1975,9,254
1975-09-12,30.46,34.37,26.87,14.18,96.9,10.7,1975,9,255
1975-09-13,31.81,35.08,28.95,20.14,88.4,8.6,1975,9,256
1975-09-14,29.59,32.48,26.48,11.27,90.0,11.4,1975,9,257
1975-09-15,29.36,31.64,26.06,2.88,84.0,13.9,1975,9,258
1975-09-16,28.72,32.6,26.25,4.4,97.9,11.4,1975,9,259
1975-09-17,28.47,31.26,24.69,8.95,91.5,12.9,1975,9,260
1975-09-18,29.84,33.14,26.48,13.92,99.0,10.9,1975,9,261
1975-09-19,29.83,32.97,26.24,5.94,99.0,8.8,1975,9,262
1975-09-20,29.73,33.22,25.93,2.85,76.4,12.3,1975,9,263
1975-09-21,29.0,32.71,26.41,3.47,86.5,9.7,1975,9,264
1975-09-22,30.17,32.84,27.31,4.89,83.5,6.8,1975,9,265
1975-09-23,29.52,33.41,26.06,4.8,81.6,13.8,1975,9,266
1975-09-24,29.34,33.07,26.62,16.3,97.4,13.0,1975,9,267
1975-09-25,29.71,32.76,27.31,1.42,83.1,15.3,1975,9,268
1975-09-26,29.37,33.28,25.43,2.64,94.9,14.7,1975,9,269
1975-09-27,29.54,31.96,27.34,8.97,86.7,11.5,1975,9,270
1975-09-28,29.38,33.09,27.38,16.36,77.9,5.2,1975,9,271
1975-09-29,29.23,31.81,26.53,27.54,92.3,12.1,1975,9,272
1975-09-30,28.29,30.84,24.97,2.2,84.5,5.7,1975,9,273
1975-10-01,26.93,30.46,24.55,6.87,78.9,5.7,1975,10,274
1975-10-02,29.44,32.08,26.18,0.29,75.2,5.4,1975,10,275
1975-10-03,28.7,31.55,24.75,9.57,77.5,6.3,1975,10,276
1975-10-04,28.11,30.18,25.8,2.36,76.8,3.3,1975,10,277
1975-10-05,28.28,31.69,25.26,9.33,79.1,3.6,1975,10,278
1975-10-06,28.33,30.52,25.78,2.0,76.3,9.0,1975,10,279
1975-10-07,27.42,29.68,24.17,3.93,79.0,12.1,1975,10,280
1975-10-08,27.07,29.75,24.76,3.3,83.5,5.5,1975,10,281
1975-10-09,26.69,30.08,23.72,10.66,79.0,8.2,1975,10,282
1975-10-10,27.08,29.42,24.84,3.29,75.2,6.3,1975,10,283
1975-10-11,26.05,29.01,23.79,8.22,72.4,7.7,1975,10,284
1975-10-12,26.99,29.03,23.22,15.18,81.5,5.8,1975,10,285
1975-10-13,26.98,28.99,24.67,1.51,76.8,8.1,1975,10,286
1975-10-14,27.42,30.49,25.36,1.43,77.9,12.2,1975,10,287
1975-10-15,27.53,30.42,25.38,2.14,65.8,7.5,1975,10,288
1975-10-16,27.78,30.09,24.03,6.59,77.9,6.6,1975,10,289
1975-10-17,26.7,29.32,24.65,2.27,87.8,6.7,1975,10,290
1975-10-18,27.88,31.01,25.39,4.23,79.8,7.9,1975,10,291
1975-10-19,28.21,32.18,24.22,1.23,85.3,11.1,1975,10,292
1975-10-20,27.26,29.38,24.94,2.19,76.8,10.8,1975,10,293
1975-10-21,26.75,30.22,24.36,6.41,80.2,17.7,1975,10,294
1975-10-22,25.03,27.53,21.53,4.88,77.9,5.9,1975,10,295
1975-10-23,25.64,28.24,22.08,4.35,75.4,6.4,1975,10,296
1975-10-24,26.08,29.04,22.1,3.62,76.5,6.8,1975,10,297
1975-10-25,27.0,29.04,24.63,1.76,80.2,7.9,1975,10,298
1975-10-26,24.21,27.7,21.82,1.87,79.6,7.0,1975,10,299
1975-10-27,22.64,25.92,18.65,2.93,76.0,6.7,1975,10,300
1975-10-28,24.97,27.98,21.26,1.58,79.1,3.8,1975,10,301
1975-10-29,26.6,29.58,24.03,5.93,77.9,0.7,1975,10,302
1975-10-30,27.1,30.2,24.37,2.84,76.9,7.9,1975,10,303
1975-10-31,25.93,28.44,22.48,9.67,82.4,8.4,1975,10,304
1975-11-01,22.04,25.98,18.89,1.49,62.3,3.0,1975,11,305
1975-11-02,24.75,26.86,22.54,0.51,68.2,5.5,1975,11,306
1975-11-03,24.7,28.36,21.65,0.99,69.2,15.0,1975,11,307
1975-11-04,24.04,28.01,20.17,1.76,66.9,15.2,1975,11,308
1975-11-05,23.29,26.25,19.37,0.72,61.1,8.1,1975,11,309
1975-11-06,21.49,24.15,19.48,5.51,68.7,7.8,1975,11,310
1975-11-07,22.46,25.62,20.05,1.41,57.9,6.4,1975,11,311
1975-11-08,25.79,29.55,22.28,2.34,59.2,7.3,1975,11,312
1975-11-09,24.43,27.09,21.41,2.34,75.3,11.1,1975,11,313
1975-11-10,23.9,26.26,20.05,0.19,56.9,11.0,1975,11,314
1975-11-11,24.61,27.44,22.26,0.39,76.0,6.5,1975,11,315
1975-11-12,22.62,26.59,20.16,1.0,62.0,6.3,1975,11,316
1975-11-13,23.76,27.32,20.07,0.8,56.6,14.5,1975,11,317
1975-11-14,23.84,26.57,20.25,0.39,68.4,6.9,1975,11,318
1975-11-15,22.34,24.9,19.97,1.55,60.9,7.0,1975,11,319
1975-11-16,22.85,25.87,19.74,0.5,65.3,9.7,1975,11,320
1975-11-17,25.31,28.9,22.51,1.66,63.2,13.1,1975,11,321
1975-11-18,24.33,27.42,21.7,0.14,74.9,8.3,1975,11,322
1975-11-19,22.41,26.03,19.48,0.73,72.3,10.0,1975,11,323
1975-11-20,23.74,27.7,21.64,1.67,70.7,10.3,1975,11,324
1975-11-21,22.65,24.87,20.47,1.65,74.6,9.4,1975,11,325
1975-11-22,24.27,26.38,20.71,2.19,70.8,9.9,1975,11,326
1975-11-23,23.76,25.81,21.52,6.9,61.8,2.7,1975,11,327
1975-11-24,25.32,28.66,21.69,1.07,62.8,9.6,1975,11,328
1975-11-25,24.7,28.59,21.92,0.24,68.8,13.6,1975,11,329
1975-11-26,23.52,26.01,20.19,0.36,72.0,10.2,1975,11,330
1975-11-27,23.9,27.22,21.0,0.47,69.7,12.7,1975,11,331
1975-11-28,23.56,27.46,20.92,3.47,63.7,4.8,1975,11,332
1975-11-29,22.18,25.56,19.75,1.73,68.0,9.0,1975,11,333
1975-11-30,22.41,24.57,18.72,0.32,73.1,10.4,1975,11,334
1975-12-01,16.89,19.58,13.14,0.03,54.5,7.4,1975,12,335
1975-12-02,15.43,17.59,12.04,0.24,55.4,1.3,1975,12,336
1975-12-03,16.82,20.81,13.45,0.64,62.1,5.8,1975,12,337
1975-12-04,17.68,21.02,14.81,0.6,54.8,9.4,1975,12,338
1975-12-05,20.38,23.05,17.86,0.98,45.8,6.7,1975,12,339
1975-12-06,18.71,21.36,14.92,0.73,71.1,0.3,1975,12,340
1975-12-07,19.0,22.21,15.92,1.0,55.8,7.1,1975,12,341
1975-12-08,17.83,21.46,15.72,0.06,61.8,2.1,1975,12,342
1975-12-09,19.55,22.17,17.54,0.1,53.9,7.9,1975,12,343
1975-12-10,20.71,23.75,18.23,0.38,52.8,6.5,1975,12,344
1975-12-11,20.9,22.95,17.08,0.16,46.1,9.1,1975,12,345
1975-12-12,23.3,27.08,21.1,0.17,62.8,6.4,1975,12,346
1975-12-13,24.23,26.29,22.19,0.68,53.4,6.1,1975,12,347
1975-12-14,22.29,26.06,19.09,0.51,49.7,2.2,1975,12,348
1975-12-15,22.48,25.07,19.32,1.17,59.5,4.5,1975,12,349
1975-12-16,21.27,25.08,17.32,0.43,55.1,8.1,1975,12,350
1975-12-17,20.96,23.22,18.41,0.3,65.1,8.7,1975,12,351
1975-12-18,19.16,21.25,16.49,0.13,54.3,6.5,1975,12,352
1975-12-19,19.27,22.39,16.53,0.04,57.5,10.0,1975,12,353
1975-12-20,21.72,24.84,19.36,0.04,55.5,5.6,1975,12,354
1975-12-21,20.14,22.69,17.42,0.11,56.9,7.8,1975,12,355
1975-12-22,17.76,21.21,14.23,0.25,47.4,4.4,1975,12,356
1975-12-23,17.73,21.37,15.11,0.31,55.5,5.5,1975,12,357
1975-12-24,18.14,21.73,14.82,1.0,53.5,5.1,1975,12,358
1975-12-25,18.68,21.32,15.76,0.3,57.7,5.6,1975,12,359
1975-12-26,17.99,20.52,14.25,0.07,57.8,10.0,1975,12,360
1975-12-27,17.71,20.1,14.15,1.1,53.4,11.6,1975,12,361
1975-12-28,20.62,24.1,18.58,0.73,58.0,8.7,1975,12,362
1975-12-29,21.13,23.56,17.45,0.94,57.5,7.1,1975,12,363
1975-12-30,20.69,23.54,17.47,0.73,73.2,7.7,1975,12,364
1975-12-31,19.78,23.33,16.51,0.42,60.6,6.2,1975,12,365
